MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-4-1,59,43,27,34,28,23,85,58,30,30.08,30.00,29.91,10,9,6,26,12,32,0.01,5,Rain,112
2013-4-2,40,38,36,36,32,30,92,81,70,30.11,30.06,29.97,8,5,1,15,8,17,0.04,8,Rain,326
2013-4-3,60,48,35,34,30,13,92,54,15,30.14,30.08,29.96,10,6,0,14,6,15,0.02,7,Fog-Rain,58
2013-4-4,68,52,36,32,26,17,64,40,15,30.11,30.00,29.88,10,10,10,17,6,21,0.00,4,,160
2013-4-5,72,58,44,30,22,13,45,28,11,29.84,29.70,29.54,10,10,10,36,11,43,T,6,Rain,208
2013-4-6,63,49,35,31,22,15,53,35,16,29.84,29.78,29.73,10,10,10,25,6,33,T,5,Rain,89
2013-4-7,67,51,35,34,24,13,89,51,13,29.77,29.65,29.57,10,10,10,28,12,35,0.00,4,,261
2013-4-8,71,47,22,36,25,13,82,68,54,29.82,29.54,29.26,10,6,0,44,18,55,T,6,Rain-Snow-Thunderstorm,349
2013-4-9,22,16,9,18,9,3,80,74,67,30.34,30.05,29.77,9,2,0,33,20,33,0.07,8,Fog-Snow,2
2013-4-10,23,15,6,13,6,0,80,68,56,30.30,30.15,29.94,10,8,2,10,5,14,T,6,Snow,37
2013-4-11,50,33,15,32,24,10,82,61,39,29.95,29.82,29.76,10,9,4,23,8,29,T,6,Rain,46
2013-4-12,59,45,30,33,28,21,85,54,23,29.98,29.88,29.78,10,10,10,36,10,43,0.00,5,,106
2013-4-13,68,48,27,36,24,7,85,48,10,29.87,29.53,29.32,10,10,5,36,12,41,0.12,6,Rain,155
2013-4-14,49,40,30,37,18,3,92,54,15,29.71,29.54,29.39,10,9,2,49,24,53,0.12,5,Rain,313
2013-4-15,37,30,23,25,21,14,92,66,40,30.06,29.86,29.66,10,4,0,25,13,29,0.47,8,Fog-Snow,20
2013-4-16,38,30,22,29,23,18,92,81,69,30.06,29.93,29.79,10,6,2,35,17,39,0.02,8,Snow,125
2013-4-17,30,27,24,27,21,14,92,84,75,30.20,29.99,29.89,9,2,0,30,14,35,0.16,8,Fog-Snow,35
2013-4-18,34,24,14,16,11,7,74,56,38,30.21,30.18,30.15,10,10,9,18,7,22,0.00,5,,318
2013-4-19,55,41,27,26,16,11,59,41,22,30.16,30.00,29.90,10,10,10,18,10,24,0.00,5,,252
2013-4-20,58,45,31,34,26,22,82,55,27,29.96,29.87,29.82,10,10,8,22,8,26,0.01,6,Rain,171
2013-4-21,61,48,34,33,26,16,82,51,19,30.07,29.95,29.88,10,10,10,20,7,25,0.00,5,,189
2013-4-22,49,35,21,35,23,18,92,67,42,30.33,30.12,29.80,10,3,0,33,15,39,0.36,8,Fog-Snow,20
2013-4-23,30,25,19,18,15,12,84,67,50,30.35,30.25,30.17,10,4,0,15,7,18,0.14,6,Snow,71
2013-4-24,53,40,26,26,17,11,70,45,19,30.22,30.16,30.10,10,10,9,20,10,24,0.00,3,,210
2013-4-25,64,49,33,29,20,13,64,39,14,30.14,29.96,29.82,10,10,10,22,9,26,0.00,4,,182
2013-4-26,66,52,38,26,21,12,59,36,12,30.13,30.05,29.90,10,10,10,17,9,24,0.00,2,,315
2013-4-27,73,57,40,26,19,7,49,29,8,30.10,30.00,29.90,10,10,10,18,10,23,0.00,1,,239
2013-4-28,78,64,49,32,21,15,39,25,10,29.94,29.79,29.68,10,10,10,28,11,37,0.00,4,,258
2013-4-29,80,61,41,36,23,14,62,35,8,29.78,29.58,29.43,10,10,10,28,13,33,T,5,Rain,225
2013-4-30,63,51,38,34,30,19,79,50,20,29.98,29.70,29.44,10,10,10,30,13,39,0.00,7,,63
