HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-4-1,79,75,71,62,60,59,73,63,52,30.18,30.14,30.09,10,10,10,28,17,33,T,2,,63
2009-4-2,81,76,70,62,60,59,73,61,49,30.14,30.10,30.05,10,10,10,23,16,30,T,2,Rain,60
2009-4-3,82,76,69,61,60,58,68,58,47,30.11,30.07,30.03,10,10,10,24,16,29,0.00,2,,69
2009-4-4,80,76,72,61,59,55,66,56,45,30.11,30.06,30.01,10,10,10,26,16,36,T,2,,62
2009-4-5,81,76,71,63,60,58,73,59,45,30.13,30.09,30.04,10,10,10,26,17,32,T,3,,61
2009-4-6,82,76,70,63,60,57,78,62,45,30.12,30.07,30.02,10,10,10,23,15,28,T,3,,60
2009-4-7,82,76,69,59,58,56,66,56,45,30.15,30.09,30.04,10,10,10,26,13,30,0.00,2,,58
2009-4-8,78,74,69,61,60,57,73,61,48,30.21,30.15,30.10,10,10,10,22,13,25,T,2,Rain,62
2009-4-9,77,74,71,63,61,60,73,67,60,30.24,30.18,30.13,10,10,10,23,13,26,T,4,Rain,68
2009-4-10,77,73,69,66,64,61,90,77,64,30.16,30.10,30.07,10,9,2,14,6,16,0.13,6,Rain,79
2009-4-11,82,75,68,66,64,62,90,72,54,30.14,30.09,30.02,10,10,8,21,9,25,0.01,4,Rain,27
2009-4-12,83,77,70,64,63,61,73,62,51,30.19,30.13,30.08,10,10,10,24,13,29,T,2,Rain,67
2009-4-13,82,77,71,63,61,60,73,62,51,30.17,30.13,30.08,10,10,10,24,17,31,T,2,,64
2009-4-14,81,76,71,63,60,58,73,59,45,30.13,30.09,30.05,10,10,10,24,16,30,T,3,Rain,57
2009-4-15,82,77,71,63,60,57,68,57,45,30.08,30.05,30.00,10,10,10,23,15,26,T,2,Rain,61
2009-4-16,80,74,69,66,64,61,81,70,54,30.07,30.04,30.00,10,10,10,13,5,,0.00,3,,73
2009-4-17,81,75,68,66,64,60,84,69,54,30.06,30.02,29.97,10,10,10,15,6,16,0.00,2,,285
2009-4-18,81,74,67,66,63,60,81,68,54,30.01,29.95,29.88,10,10,10,15,6,17,0.00,2,,234
2009-4-19,81,75,68,67,64,62,84,71,58,29.91,29.88,29.84,10,10,10,16,7,20,0.00,2,,277
2009-4-20,81,76,70,67,65,62,84,71,58,30.00,29.91,29.85,10,9,2,22,7,26,0.26,5,Rain,316
2009-4-21,79,74,69,63,59,57,73,64,54,30.06,30.00,29.96,10,10,10,23,12,29,0.00,3,,24
2009-4-22,82,76,69,61,59,57,70,59,47,30.09,30.03,29.98,10,10,10,18,10,22,0.00,3,,30
2009-4-23,77,74,70,65,63,61,79,72,64,30.08,30.03,29.99,10,10,4,8,9,10,0.01,6,Rain-Thunderstorm,30
2009-4-24,80,74,67,65,60,57,87,70,52,30.03,29.99,29.94,10,10,5,16,9,21,0.13,4,Rain,8
2009-4-25,81,73,65,58,56,53,73,58,42,30.03,29.97,29.92,10,10,10,21,10,24,0.00,2,,359
2009-4-26,79,71,63,59,58,56,78,63,47,30.03,30.00,29.96,10,10,10,16,7,18,0.00,2,,314
2009-4-27,79,71,63,60,58,55,84,67,50,30.02,29.99,29.93,10,10,10,14,7,16,0.00,1,,269
2009-4-28,82,74,65,67,61,57,84,69,54,30.03,29.98,29.94,10,10,10,21,9,23,0.01,2,Rain,315
2009-4-29,80,75,69,62,61,58,73,61,48,30.08,30.02,29.98,10,10,10,13,7,16,0.00,5,,323
2009-4-30,84,77,70,62,60,58,73,58,43,30.10,30.06,30.01,10,10,10,16,9,21,0.00,2,,24
