MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-9-1,90,81,72,59,55,52,53,40,27,29.90,29.85,29.78,10,10,10,13,7,15,T,6,,136
2013-9-2,88,82,76,62,58,55,60,47,34,29.91,29.85,29.82,10,10,10,17,9,24,T,6,Rain,155
2013-9-3,91,80,68,63,58,51,78,52,26,30.16,29.99,29.91,10,10,9,26,8,36,T,4,Rain-Thunderstorm,308
2013-9-4,92,79,65,61,58,54,78,55,32,30.21,30.02,29.95,10,10,10,13,4,16,T,4,Rain,340
2013-9-5,97,86,74,57,51,43,54,36,18,29.98,29.91,29.82,10,10,10,22,9,26,0.00,4,,157
2013-9-6,98,87,75,56,51,37,43,29,15,30.10,29.93,29.79,10,9,2,22,12,29,0.00,5,,124
2013-9-7,87,79,70,61,56,50,61,46,30,30.22,29.99,29.90,10,9,2,22,7,28,0.12,7,Rain-Thunderstorm,234
2013-9-8,77,71,64,60,57,53,87,67,46,30.00,29.93,29.84,10,9,5,18,9,23,0.27,6,Rain,146
2013-9-9,83,73,63,56,53,45,73,54,34,29.98,29.84,29.78,10,10,10,14,7,22,0.00,4,,182
2013-9-10,82,73,63,56,51,48,73,52,31,29.88,29.84,29.81,10,10,10,13,4,15,T,6,Rain,262
2013-9-11,85,75,65,60,55,50,87,62,36,30.02,29.91,29.85,10,10,7,16,8,25,0.25,6,Rain-Thunderstorm,186
2013-9-12,82,74,65,55,51,45,59,44,28,30.02,29.92,29.86,10,10,8,30,11,36,0.02,5,Rain,148
2013-9-13,74,69,63,58,56,52,84,71,57,30.04,29.86,29.79,10,10,7,17,6,23,0.16,6,Rain-Thunderstorm,146
2013-9-14,73,67,61,57,55,54,78,68,57,29.98,29.84,29.81,10,10,8,20,4,24,0.14,6,Rain-Thunderstorm,136
2013-9-15,82,70,58,56,53,51,80,55,30,29.94,29.89,29.85,10,10,10,14,6,23,0.00,3,,172
2013-9-16,89,77,65,54,50,46,63,44,24,29.92,29.84,29.74,10,10,10,18,12,23,0.00,3,,156
2013-9-17,92,80,68,53,45,33,53,34,14,29.84,29.61,29.46,10,10,10,33,16,44,0.00,3,Thunderstorm,161
2013-9-18,78,67,56,46,38,32,66,46,25,29.97,29.82,29.49,10,10,10,18,10,24,0.00,2,,332
2013-9-19,72,60,47,40,33,26,66,43,20,30.10,30.05,29.99,10,10,10,12,3,16,0.00,0,,274
2013-9-20,82,65,48,45,37,32,66,42,17,30.01,29.90,29.75,10,10,10,10,5,15,0.00,0,,134
2013-9-21,90,77,64,41,33,25,40,25,9,29.76,29.61,29.44,10,10,10,32,18,43,0.00,2,,158
2013-9-22,78,73,67,46,36,27,40,28,16,29.79,29.54,29.42,10,10,10,28,12,41,0.00,5,,279
2013-9-23,72,63,53,40,37,33,59,42,25,30.01,29.95,29.81,10,10,10,14,4,18,0.00,2,,69
2013-9-24,86,72,57,38,28,14,47,28,8,29.97,29.75,29.52,10,10,10,33,17,43,0.00,3,,154
2013-9-25,68,60,52,46,38,31,77,52,27,29.73,29.59,29.46,10,10,2,28,10,37,0.08,6,Rain,327
2013-9-26,58,53,48,40,36,31,71,56,40,29.81,29.73,29.68,10,10,8,21,8,24,0.01,7,Rain,334
2013-9-27,52,48,43,38,36,33,82,68,54,30.18,30.02,29.81,10,10,8,14,5,20,0.03,6,Rain,122
2013-9-28,68,55,42,34,29,18,70,43,16,30.21,30.14,30.04,10,10,10,20,12,25,0.00,1,,154
2013-9-29,75,63,51,31,27,21,41,28,14,30.01,29.90,29.79,10,10,10,32,14,38,T,6,,166
2013-9-30,84,76,67,43,28,21,20,16,12,29.94,29.78,29.72,10,10,10,25,16,32,0.00,3,,236
