EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,42,38,33,29,26,18,70,61,51,30.04,29.96,29.90,10,10,10,15,9,21,0.00,8,,277
2013-1-2,35,31,27,16,13,11,53,44,35,30.22,30.11,30.02,10,10,10,17,9,22,0.00,5,,326
2013-1-3,35,30,25,21,15,8,69,52,35,30.24,30.19,30.14,10,10,10,17,8,21,0.00,4,,277
2013-1-4,40,35,30,22,20,19,69,57,44,30.17,30.11,30.05,10,10,10,23,13,29,0.00,4,,254
2013-1-5,42,35,28,25,20,18,69,54,39,30.37,30.27,30.11,10,10,8,17,8,23,0.00,3,,270
2013-1-6,48,40,32,34,29,25,96,69,42,30.25,30.14,30.02,10,7,2,15,7,18,0.09,7,Snow,224
2013-1-7,47,39,31,28,27,25,75,60,45,30.43,30.33,30.12,10,10,10,15,7,23,0.00,2,,270
2013-1-8,49,38,27,32,29,25,85,68,50,30.45,30.41,30.38,10,9,7,16,6,18,0.00,3,,231
2013-1-9,53,42,31,39,35,30,96,79,61,30.40,30.32,30.20,10,9,7,17,6,23,T,5,,248
2013-1-10,50,43,36,33,26,24,79,58,36,30.56,30.49,30.35,10,10,10,14,7,16,0.00,5,,318
2013-1-11,50,42,34,46,39,26,100,77,53,30.52,30.26,30.09,10,6,2,13,4,20,0.68,8,Rain,77
2013-1-12,53,48,43,45,43,42,100,91,74,30.18,30.14,30.10,7,4,0,9,5,,0.00,7,Fog,2
2013-1-13,51,47,43,50,45,43,100,96,92,30.17,30.10,30.01,4,1,0,8,3,10,T,8,Fog-Rain,189
2013-1-14,58,50,42,54,47,34,100,75,50,30.29,30.11,29.98,10,5,0,20,7,24,0.20,8,Fog-Rain,304
2013-1-15,42,39,36,39,32,28,92,76,60,30.36,30.28,30.21,10,9,4,14,7,21,0.35,8,Rain,40
2013-1-16,39,37,35,36,34,32,92,89,85,30.19,30.02,29.85,9,5,2,21,7,24,0.85,8,Rain,14
2013-1-17,43,41,38,37,30,26,92,73,53,30.12,30.06,29.98,10,9,6,17,8,22,0.00,8,,299
2013-1-18,39,34,29,27,15,7,64,48,32,30.52,30.36,30.06,10,10,10,29,11,37,T,3,Snow,300
2013-1-19,52,41,30,29,24,14,70,54,38,30.43,30.23,29.96,10,10,10,23,13,29,0.00,1,,209
2013-1-20,57,45,32,29,22,9,60,41,21,30.09,29.90,29.78,10,10,10,31,15,39,0.00,2,,263
2013-1-21,36,32,27,27,17,8,92,64,36,30.13,29.97,29.87,10,7,0,22,7,28,0.05,7,Fog-Snow,324
2013-1-22,27,21,15,11,-2,-8,55,43,31,30.30,30.13,29.92,10,10,10,26,16,35,0.00,2,,295
2013-1-23,22,17,12,2,-3,-6,58,46,33,30.33,30.26,30.20,10,10,10,21,9,26,0.00,3,,289
2013-1-24,27,22,17,6,0,-5,61,43,25,30.49,30.31,30.15,10,10,10,24,10,36,0.00,4,,328
2013-1-25,24,21,17,16,9,-3,92,66,39,30.50,30.27,30.10,10,6,1,14,5,18,0.07,7,Snow,215
2013-1-26,29,22,14,13,10,7,88,64,39,30.43,30.22,30.09,10,9,7,20,8,24,0.00,4,,312
2013-1-27,36,27,17,16,11,8,67,51,35,30.59,30.52,30.45,10,10,10,16,7,21,0.00,3,,289
2013-1-28,38,33,27,35,29,18,92,78,63,30.52,30.29,30.06,10,4,1,16,9,22,0.11,8,Rain-Snow,204
2013-1-29,54,45,35,45,39,33,100,86,71,30.16,30.10,30.04,8,4,2,12,3,13,0.00,7,,117
2013-1-30,68,53,38,57,51,37,100,84,68,30.05,29.72,29.35,10,6,2,27,10,37,0.32,7,Fog-Rain,195
2013-1-31,62,46,30,59,40,7,93,61,29,29.89,29.39,29.11,10,8,2,41,24,52,0.62,7,Rain-Snow,232
