EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-1-1,60,49,38,46,38,27,92,67,41,30.15,29.96,29.77,10,10,7,22,9,29,0.01,4,Rain,213
2012-1-2,49,41,32,25,16,11,51,42,32,29.97,29.93,29.86,10,10,10,31,14,40,0.00,4,,292
2012-1-3,34,28,21,16,8,-3,58,43,27,30.30,30.09,29.97,10,10,10,33,16,40,T,4,Snow,314
2012-1-4,35,26,17,18,7,-6,47,42,37,30.35,30.19,30.00,10,10,10,21,8,25,0.00,6,,222
2012-1-5,50,40,30,28,24,17,75,55,34,30.04,30.00,29.96,10,10,7,20,5,24,0.00,5,,253
2012-1-6,63,48,33,31,29,26,82,55,27,29.96,29.90,29.83,10,10,8,15,7,21,0.00,4,,196
2012-1-7,68,52,36,42,33,24,89,63,37,30.06,29.89,29.81,10,10,10,17,8,24,0.00,3,,238
2012-1-8,52,45,37,29,26,23,59,48,36,30.35,30.25,30.08,10,10,10,15,8,21,0.00,6,,348
2012-1-9,40,37,33,34,29,22,96,74,52,30.35,30.22,30.06,10,6,0,10,4,14,0.16,8,Fog-Rain-Snow,148
2012-1-10,54,43,32,35,31,28,96,67,38,30.07,30.03,30.00,10,7,0,15,7,20,0.00,4,Fog,227
2012-1-11,49,41,33,47,38,29,93,85,76,30.05,29.91,29.54,10,6,4,14,6,18,0.51,7,Rain,54
2012-1-12,57,51,44,47,43,39,93,78,62,29.55,29.49,29.41,10,9,5,17,8,22,0.24,6,Rain,232
2012-1-13,51,40,29,45,22,12,86,58,30,29.99,29.66,29.35,10,10,6,29,15,39,0.05,4,Rain,273
2012-1-14,39,33,27,15,13,12,55,46,37,30.17,30.10,30.00,10,10,10,18,9,23,0.00,4,,304
2012-1-15,36,32,27,14,10,3,55,41,26,30.60,30.42,30.19,10,10,10,22,10,28,0.00,2,,357
2012-1-16,42,34,25,31,19,10,60,50,40,30.61,30.46,30.19,10,10,9,21,10,26,0.03,5,Rain,180
2012-1-17,60,50,40,50,42,33,89,76,62,30.16,29.89,29.71,10,10,4,25,14,32,0.26,7,Rain,206
2012-1-18,58,43,28,50,20,11,77,54,30,30.21,30.05,29.72,10,10,10,32,17,40,0.00,3,,326
2012-1-19,41,33,25,23,17,12,58,49,40,30.25,30.11,29.96,10,10,10,20,10,24,0.00,3,,201
2012-1-20,40,34,28,26,17,7,70,51,32,30.30,30.21,30.00,10,8,0,22,8,26,0.05,7,Fog-Snow,69
2012-1-21,34,31,28,29,27,24,92,82,72,30.31,30.08,29.97,10,7,1,21,9,23,0.23,8,Rain-Snow,15
2012-1-22,32,31,30,28,25,23,85,76,66,30.49,30.43,30.33,10,9,5,15,8,18,T,8,Snow,41
2012-1-23,44,38,32,43,34,28,100,91,82,30.36,30.11,29.95,10,3,0,16,5,22,0.03,8,Fog-Rain,193
2012-1-24,56,47,38,43,41,34,100,76,51,30.22,30.09,29.96,10,9,6,14,5,16,0.00,5,,215
2012-1-25,49,43,36,34,31,28,76,61,46,30.40,30.29,30.23,10,10,9,16,6,21,0.00,5,,29
2012-1-26,55,48,40,49,41,33,89,80,71,30.22,30.02,29.74,10,8,4,13,4,14,T,8,,112
2012-1-27,62,52,41,59,49,26,100,75,49,30.04,29.60,29.47,10,8,0,32,14,40,0.63,6,Rain-Thunderstorm,252
2012-1-28,55,44,33,32,26,13,82,56,29,30.21,30.06,29.94,10,10,10,25,8,35,0.00,2,,256
2012-1-29,49,41,32,26,13,8,51,36,21,30.30,30.21,30.08,10,10,10,28,11,39,0.00,3,,231
2012-1-30,48,41,34,27,17,10,59,40,21,30.42,30.32,30.22,10,10,10,22,9,31,0.00,3,,258
2012-1-31,66,53,39,33,28,22,59,42,24,30.25,30.17,30.09,10,10,10,21,11,25,0.00,3,,204
