MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-6-1,70,56,42,37,33,28,70,48,26,30.12,30.04,29.94,10,10,10,29,11,39,0.00,4,,51
2013-6-2,84,62,39,37,32,28,70,42,13,30.11,29.86,29.65,10,10,10,21,10,30,0.00,2,,158
2013-6-3,92,76,59,32,27,21,30,19,8,29.71,29.57,29.50,10,10,7,32,15,39,0.00,4,,270
2013-6-4,76,63,50,54,46,27,86,56,25,30.24,29.93,29.70,10,10,4,31,9,37,0.07,6,Rain-Thunderstorm,28
2013-6-5,61,54,46,47,45,43,93,74,55,30.25,30.11,30.04,10,9,5,16,9,18,0.00,7,Rain-Thunderstorm,88
2013-6-6,80,61,42,46,39,32,92,56,19,30.08,29.97,29.89,10,9,6,16,8,21,0.00,2,,117
2013-6-7,86,67,48,43,39,36,71,46,20,29.97,29.82,29.61,10,10,10,24,10,29,0.00,5,Rain-Thunderstorm,216
2013-6-8,77,65,53,48,39,36,55,40,25,29.90,29.73,29.55,10,10,10,32,14,41,T,4,,59
2013-6-9,89,68,47,43,35,29,66,40,13,29.90,29.82,29.71,10,10,10,21,9,28,0.00,1,,157
2013-6-10,99,84,68,35,30,26,24,16,8,29.73,29.66,29.59,10,10,10,35,12,44,0.00,4,,204
2013-6-11,100,79,57,36,23,7,34,19,3,29.85,29.63,29.52,10,10,9,28,16,38,0.00,2,,257
2013-6-12,93,76,59,40,28,21,27,18,9,30.13,29.85,29.76,10,10,5,39,11,60,0.00,4,,122
2013-6-13,94,74,53,54,48,38,93,59,24,30.17,29.87,29.72,10,10,6,33,11,43,T,6,Rain-Thunderstorm,19
2013-6-14,91,75,58,46,39,33,56,36,15,29.97,29.73,29.66,10,10,10,35,15,43,0.00,5,Thunderstorm,150
2013-6-15,84,70,55,51,46,42,72,48,24,30.15,29.88,29.77,10,10,10,17,9,24,0.00,3,,45
2013-6-16,88,73,58,46,39,30,62,38,13,30.16,29.91,29.86,10,10,9,36,12,53,0.00,4,,232
2013-6-17,84,68,51,48,41,34,55,37,18,30.00,29.94,29.87,10,10,10,24,9,29,0.00,5,,217
2013-6-18,85,70,54,52,47,39,89,58,26,30.03,29.90,29.75,10,10,5,64,13,97,0.06,5,Rain-Thunderstorm-Tornado,136
2013-6-19,94,74,53,53,42,22,83,45,7,30.05,29.64,29.44,10,10,9,30,14,37,0.00,3,,180
2013-6-20,91,74,56,55,33,18,84,47,9,29.82,29.65,29.52,10,8,2,23,11,28,0.00,2,,57
2013-6-21,96,76,55,57,40,11,77,41,4,29.92,29.65,29.56,10,10,9,18,8,24,0.00,3,,295
2013-6-22,89,72,55,54,47,38,67,42,17,29.86,29.72,29.61,10,10,2,25,8,31,0.11,4,Rain-Thunderstorm,24
2013-6-23,87,70,52,52,47,33,89,53,16,29.99,29.82,29.67,10,9,2,40,10,51,0.51,4,Rain-Thunderstorm,121
2013-6-24,91,74,56,50,42,25,77,43,9,29.97,29.67,29.56,10,10,7,26,12,32,0.00,6,Thunderstorm,176
2013-6-25,93,76,58,42,35,27,44,28,11,29.82,29.70,29.58,10,10,10,22,9,26,0.00,3,,260
2013-6-26,97,78,58,42,37,31,57,34,11,29.88,29.84,29.79,10,10,10,17,9,21,0.00,3,,192
2013-6-27,97,82,67,44,39,34,38,25,11,30.02,29.95,29.85,10,10,10,21,11,32,0.00,1,,68
2013-6-28,96,81,65,55,49,36,61,41,20,30.30,30.03,29.90,10,10,10,30,12,49,T,4,Rain-Thunderstorm,57
2013-6-29,89,73,57,55,51,47,80,54,27,30.31,30.00,29.92,10,10,9,21,7,25,0.00,5,,106
2013-6-30,82,71,59,54,52,49,78,56,33,30.07,30.00,29.96,10,10,8,21,9,25,T,5,Rain,167
