HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-1-1,83,77,70,67,66,64,90,73,55,30.01,29.97,29.91,10,9,2,16,6,21,0.00,3,,35
2011-1-2,81,76,71,68,66,63,79,67,54,30.10,30.03,29.97,10,10,10,24,13,30,T,3,,62
2011-1-3,82,78,73,67,65,63,79,69,58,30.12,30.08,30.03,10,10,10,28,14,35,0.00,2,,62
2011-1-4,82,77,71,66,63,59,79,65,51,30.11,30.06,30.01,10,10,10,22,11,29,T,3,,62
2011-1-5,79,72,65,64,62,60,84,69,54,30.03,29.97,29.90,10,10,10,15,4,22,0.00,2,,335
2011-1-6,78,73,67,66,60,57,93,72,50,29.97,29.92,29.87,10,10,9,18,7,23,T,3,Rain,353
2011-1-7,76,70,64,58,57,54,78,64,49,29.95,29.90,29.85,10,10,10,13,5,18,T,4,Rain,339
2011-1-8,78,70,61,61,58,54,84,67,50,29.89,29.84,29.79,10,10,10,20,6,24,T,3,,343
2011-1-9,77,69,60,60,57,54,84,65,46,29.88,29.82,29.77,10,10,10,10,3,14,0.00,2,,265
2011-1-10,76,71,66,69,63,58,87,72,57,29.86,29.79,29.73,10,10,9,22,9,29,0.01,4,Rain,228
2011-1-11,78,69,59,62,60,57,97,76,54,29.84,29.80,29.73,10,10,10,12,5,16,0.00,1,,72
2011-1-12,80,74,67,72,70,63,97,88,78,29.87,29.78,29.71,10,7,1,28,13,38,1.71,6,Rain-Thunderstorm,180
2011-1-13,78,72,66,74,70,64,100,93,85,29.98,29.91,29.85,10,8,3,17,8,23,1.01,6,Rain-Thunderstorm,140
2011-1-14,80,78,76,73,72,70,94,84,74,30.10,30.02,29.94,10,10,10,13,8,18,0.00,3,,170
2011-1-15,81,76,70,70,68,66,97,83,69,30.13,30.07,30.01,10,10,10,12,3,14,0.00,2,,339
2011-1-16,79,73,67,69,65,61,93,80,67,30.04,29.98,29.90,10,10,10,13,5,15,0.00,3,Rain,292
2011-1-17,79,73,66,62,60,58,81,65,48,29.96,29.92,29.87,10,10,10,14,8,20,0.00,2,,327
2011-1-18,75,70,64,64,61,59,87,74,60,29.99,29.94,29.90,10,10,10,12,4,15,0.00,4,Rain,57
2011-1-19,80,73,66,62,58,50,78,58,37,30.02,29.98,29.92,10,10,10,14,4,18,T,3,Rain,18
2011-1-20,84,75,66,70,66,62,84,71,58,30.04,29.99,29.94,10,10,10,18,7,24,0.00,3,,35
2011-1-21,83,78,73,66,65,62,79,65,51,30.03,29.99,29.92,10,10,10,20,11,31,0.00,2,,68
2011-1-22,82,75,67,67,64,62,87,71,54,30.00,29.97,29.92,10,10,7,14,5,20,0.00,3,Rain,59
2011-1-23,82,76,70,64,61,60,73,62,51,30.06,30.01,29.96,10,10,10,17,10,24,0.00,3,,56
2011-1-24,81,76,71,64,62,60,73,62,51,30.07,30.03,29.98,10,10,10,18,10,23,T,3,,62
2011-1-25,80,73,65,63,61,60,87,71,54,30.05,30.01,29.96,10,10,10,13,5,15,0.00,2,,330
2011-1-26,82,74,65,64,61,55,87,65,42,30.06,30.00,29.93,10,10,10,15,6,21,0.00,2,,31
2011-1-27,82,74,66,63,62,60,87,69,51,30.09,30.05,29.99,10,10,10,17,8,22,0.00,2,,62
2011-1-28,82,77,72,64,63,59,73,60,47,30.10,30.05,29.99,10,10,10,20,11,24,0.00,4,,61
2011-1-29,79,73,67,65,64,61,84,71,58,30.08,30.02,29.96,10,10,9,13,4,17,T,2,Rain,71
2011-1-30,79,72,64,68,64,58,93,80,66,30.06,30.01,29.93,10,10,3,23,6,30,0.07,2,Rain,331
2011-1-31,80,72,64,59,57,54,73,58,42,30.15,30.07,30.02,10,10,10,18,10,24,0.00,1,,22
