HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-5-1,82,77,72,65,63,61,73,64,54,30.13,30.09,30.03,10,10,10,23,14,30,0.00,2,,56
2012-5-2,84,78,71,66,61,58,84,64,43,30.11,30.07,30.01,10,10,10,23,12,33,T,3,Rain,55
2012-5-3,83,77,70,65,63,60,84,66,47,30.11,30.08,30.04,10,10,8,25,16,36,0.01,3,Rain,55
2012-5-4,82,77,71,64,63,62,79,69,58,30.12,30.08,30.04,10,10,10,23,12,28,T,4,,60
2012-5-5,84,78,71,64,62,60,73,59,44,30.11,30.08,30.04,10,10,10,21,12,29,0.00,2,,58
2012-5-6,84,78,71,67,63,62,73,62,51,30.12,30.08,30.04,10,10,10,24,14,31,0.00,3,,58
2012-5-7,83,77,70,65,61,59,84,65,46,30.15,30.12,30.08,10,10,10,22,13,36,T,4,Rain,57
2012-5-8,81,77,73,61,60,58,68,59,49,30.18,30.13,30.10,10,10,10,18,14,22,0.00,3,,49
2012-5-9,83,77,71,64,59,57,79,61,43,30.12,30.09,30.05,10,10,7,23,15,30,T,3,Rain,44
2012-5-10,84,77,70,62,59,55,73,55,37,30.09,30.05,30.01,10,10,10,18,10,26,T,2,,55
2012-5-11,84,77,70,62,59,54,73,57,40,30.07,30.02,29.99,10,10,10,22,8,26,0.00,2,,62
2012-5-12,84,76,68,62,59,52,76,54,32,30.08,30.04,29.99,10,10,10,17,8,22,0.00,2,,34
2012-5-13,82,74,66,62,60,57,87,66,45,30.07,30.03,29.97,10,10,10,21,7,25,0.00,2,,352
2012-5-14,79,73,66,63,61,58,81,67,52,30.04,30.00,29.96,10,10,10,14,5,18,T,3,,176
2012-5-15,81,74,67,64,62,60,81,68,54,30.06,30.01,29.96,10,10,10,16,5,20,0.00,2,,131
2012-5-16,82,77,71,68,64,60,90,71,51,30.11,30.05,30.01,10,10,5,16,7,18,T,3,Rain,72
2012-5-17,85,80,74,66,63,60,68,58,47,30.13,30.09,30.04,10,10,10,21,12,26,0.00,4,,57
2012-5-18,85,79,73,66,62,58,79,60,40,30.12,30.09,30.04,10,10,10,20,9,25,0.00,3,,49
2012-5-19,86,79,72,65,63,61,73,59,44,30.09,30.06,30.02,10,10,10,21,10,29,0.00,2,,51
2012-5-20,87,80,73,65,63,61,73,61,48,30.13,30.07,30.02,10,10,10,20,12,26,0.00,3,,56
2012-5-21,86,80,73,65,64,60,73,61,48,30.14,30.10,30.06,10,10,10,22,13,26,0.00,2,,58
2012-5-22,85,80,75,64,62,60,64,54,44,30.16,30.11,30.07,10,10,9,24,16,30,0.00,2,,65
2012-5-23,84,79,74,68,63,60,64,56,47,30.13,30.09,30.05,10,10,8,26,17,32,T,4,Rain,60
2012-5-24,84,79,74,65,64,61,74,61,47,30.12,30.10,30.06,10,10,10,24,15,31,T,4,Rain,59
2012-5-25,86,80,73,66,64,60,74,59,44,30.09,30.07,30.04,10,10,8,25,18,35,T,5,,59
2012-5-26,85,79,73,67,64,61,73,59,44,30.12,30.08,30.05,10,10,10,26,17,35,T,4,,58
2012-5-27,84,79,73,67,65,61,79,63,47,30.11,30.08,30.04,10,10,9,26,16,37,T,5,Rain,55
2012-5-28,84,79,74,64,61,57,64,54,44,30.15,30.11,30.07,10,10,10,30,19,38,0.01,3,,64
2012-5-29,84,79,74,63,61,60,68,58,47,30.16,30.12,30.09,10,10,10,28,16,35,0.00,3,,60
2012-5-30,82,78,73,65,63,61,68,61,54,30.15,30.12,30.09,10,10,9,25,17,32,T,3,Rain,58
2012-5-31,84,78,72,68,63,60,74,61,47,30.17,30.13,30.11,10,10,10,24,14,32,0.02,3,Rain,53
