EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-2-1,80,76,71,66,64,61,79,69,58,30.24,30.19,30.15,10,10,10,16,11,21,0.00,4,,108
2012-2-2,80,76,71,67,66,64,84,73,62,30.17,30.13,30.07,10,10,10,16,8,22,T,4,,118
2012-2-3,78,75,71,67,64,62,84,74,64,30.19,30.15,30.11,10,10,5,22,15,29,0.06,5,Rain,89
2012-2-4,79,76,73,70,66,63,82,75,67,30.16,30.11,30.07,10,10,6,21,14,28,0.03,5,Rain,106
2012-2-5,79,76,72,70,68,66,84,77,69,30.07,30.04,29.99,10,10,10,15,8,20,T,4,,130
2012-2-6,80,76,71,70,69,66,87,77,67,30.07,30.02,29.99,10,9,3,20,8,24,0.16,6,Rain,133
2012-2-7,80,76,71,72,70,68,93,84,74,30.03,29.99,29.94,10,9,1,16,6,22,0.27,7,Rain,160
2012-2-8,75,72,69,70,67,63,100,87,73,30.07,30.02,29.98,10,9,6,13,6,25,0.00,7,,330
2012-2-9,78,73,67,70,67,61,93,81,69,30.10,30.05,30.01,10,9,1,21,12,24,0.56,7,Rain,41
2012-2-10,80,76,71,73,70,68,93,86,79,30.06,30.00,29.91,10,8,2,18,10,30,0.20,7,Rain,129
2012-2-11,72,64,55,68,59,45,100,79,57,30.08,29.95,29.88,10,9,4,23,11,30,0.17,4,Rain,303
2012-2-12,62,55,47,45,38,29,77,58,39,30.26,30.18,30.09,10,10,10,24,14,31,0.00,1,,344
2012-2-13,70,59,47,51,46,41,86,65,44,30.23,30.17,30.14,10,10,10,16,9,21,0.00,2,,56
2012-2-14,78,70,62,60,56,51,78,64,49,30.16,30.12,30.08,10,10,10,17,7,25,0.00,3,,141
2012-2-15,79,71,62,63,61,59,93,75,56,30.22,30.16,30.12,10,10,10,15,7,23,0.00,2,,127
2012-2-16,79,75,70,65,64,63,79,69,58,30.20,30.14,30.09,10,10,10,17,9,24,0.00,2,,146
2012-2-17,81,74,66,66,65,64,93,76,58,30.10,30.05,30.01,10,10,10,15,5,20,0.00,1,,169
2012-2-18,81,73,65,67,65,62,93,76,58,30.03,29.98,29.92,10,10,10,16,6,21,T,1,,163
2012-2-19,87,79,70,72,69,66,93,72,51,29.97,29.92,29.86,10,10,10,23,11,29,0.00,3,,235
2012-2-20,74,68,62,64,57,52,87,67,46,30.16,30.05,29.95,10,10,10,18,11,24,0.00,2,,347
2012-2-21,78,71,63,57,55,53,73,60,46,30.22,30.16,30.13,10,10,8,16,10,22,T,2,,103
2012-2-22,79,71,62,64,61,58,87,71,54,30.12,30.05,29.97,10,10,10,18,7,22,0.00,1,,175
2012-2-23,86,75,63,69,66,62,93,71,48,30.01,29.98,29.92,10,10,8,15,6,18,0.00,0,,189
2012-2-24,85,76,67,71,69,67,100,78,55,30.06,30.01,29.97,10,9,4,18,7,22,0.00,1,,181
2012-2-25,85,78,70,72,67,63,100,78,55,30.18,30.11,30.03,10,9,3,23,10,29,T,5,Rain,55
2012-2-26,79,75,70,68,66,64,90,79,67,30.25,30.21,30.17,10,10,6,24,16,30,T,7,Rain,85
2012-2-27,82,79,75,70,69,68,82,76,69,30.28,30.24,30.20,10,10,10,20,13,23,0.00,4,,112
2012-2-28,82,78,73,70,68,66,84,73,62,30.25,30.21,30.17,10,10,10,16,9,21,T,2,Rain,98
2012-2-29,82,78,74,72,68,66,79,71,62,30.22,30.17,30.12,10,10,7,17,10,23,T,3,Rain,128
