MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-12-1,59,40,21,21,17,9,81,48,15,30.00,29.82,29.68,10,9,2,26,12,32,0.01,5,Snow,14
2009-12-2,21,15,9,18,12,3,92,77,62,30.27,30.10,30.00,10,5,0,24,7,30,0.01,7,Snow,11
2009-12-3,17,8,-2,5,1,-7,88,70,51,30.41,30.34,30.27,10,10,10,14,6,17,T,5,,101
2009-12-4,36,17,-2,11,4,-5,79,53,27,30.32,30.01,29.77,10,10,10,20,11,24,0.00,2,,223
2009-12-5,38,27,15,17,11,4,73,55,37,29.97,29.82,29.70,10,10,10,16,8,20,0.00,4,,45
2009-12-6,19,12,4,13,9,1,91,82,73,30.18,29.97,29.86,10,3,0,15,9,17,0.08,8,Snow,65
2009-12-7,11,8,4,5,3,1,91,82,73,30.16,29.92,29.67,10,4,1,14,7,16,T,8,Snow,293
2009-12-8,7,2,-3,3,-1,-9,87,79,71,30.07,29.65,29.42,10,4,1,20,10,22,0.01,7,Snow,40
2009-12-9,20,2,-17,0,-9,-22,81,56,31,30.09,29.99,29.72,10,10,10,18,8,23,0.00,2,,181
2009-12-10,31,15,-1,8,-2,-11,76,52,27,30.10,30.02,29.88,10,10,10,17,10,26,0.00,1,,194
2009-12-11,44,26,8,22,7,-3,74,51,27,30.09,29.98,29.85,10,10,9,20,8,22,0.00,3,,167
2009-12-12,49,36,22,20,15,8,62,46,30,29.84,29.76,29.69,10,10,10,24,12,28,0.00,5,,233
2009-12-13,53,39,24,28,22,13,85,57,28,29.67,29.55,29.40,10,10,7,43,16,49,0.00,4,,214
2009-12-14,48,36,24,18,14,10,88,56,23,30.15,29.92,29.64,10,10,10,25,12,30,0.00,2,,272
2009-12-15,54,38,21,23,10,3,60,37,13,30.27,30.17,30.10,10,10,10,18,9,24,0.00,3,,209
2009-12-16,55,43,30,25,17,11,69,44,19,30.14,30.09,30.03,10,10,8,17,7,22,0.00,6,,241
2009-12-17,54,39,23,27,22,18,81,55,28,30.19,30.10,30.01,10,10,10,20,8,25,0.00,5,,164
2009-12-18,43,30,17,26,20,13,84,62,39,30.30,30.22,30.16,10,10,10,15,6,20,0.00,4,,112
2009-12-19,51,33,14,19,12,-1,80,46,12,30.26,30.12,30.01,10,10,10,15,8,18,0.00,4,,208
2009-12-20,57,38,19,26,18,12,69,44,18,30.20,30.05,29.90,10,10,10,16,7,21,0.00,4,,193
2009-12-21,59,46,32,23,14,3,61,37,12,29.92,29.83,29.75,10,10,9,24,11,30,0.00,5,,203
2009-12-22,44,36,28,30,24,18,92,68,43,29.78,29.69,29.59,10,7,0,17,8,20,0.05,7,Snow,136
2009-12-23,27,20,13,25,20,9,100,91,81,30.17,29.85,29.71,2,2,1,28,11,33,0.15,8,Snow,9
2009-12-24,22,12,2,9,4,-3,92,69,45,30.27,30.10,29.95,10,8,1,20,8,24,T,4,Snow,300
2009-12-25,24,12,-1,14,7,-5,87,69,50,30.02,29.95,29.76,10,10,9,26,10,33,T,7,Snow,336
2009-12-26,30,25,20,20,17,12,92,75,58,30.16,30.00,29.88,10,5,0,22,8,26,0.14,7,Fog-Snow,305
2009-12-27,26,15,4,15,9,-1,86,74,62,30.46,30.30,30.14,10,10,10,14,7,15,0.00,3,,157
2009-12-28,30,18,5,18,9,3,80,69,57,30.53,30.40,30.23,10,10,10,26,10,38,0.00,1,,201
2009-12-29,32,24,16,19,15,12,80,65,49,30.20,30.00,29.86,10,9,7,12,5,15,0.00,6,,237
2009-12-30,31,21,11,19,13,5,88,71,53,30.06,29.92,29.82,10,10,9,17,9,17,0.00,6,,162
2009-12-31,36,22,8,16,9,4,88,60,32,30.32,30.24,30.09,10,9,6,17,9,18,0.00,3,,214
