MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-2-1,29,22,14,16,-3,-15,63,46,28,30.53,30.31,30.10,10,10,4,30,16,36,T,3,,350
2011-2-2,22,15,8,7,-3,-9,69,50,31,30.68,30.60,30.39,10,10,10,13,5,17,0.00,0,,309
2011-2-3,29,21,12,16,6,1,68,54,40,30.71,30.64,30.59,10,10,10,14,5,17,0.00,3,,87
2011-2-4,37,31,25,23,14,8,63,50,37,30.58,30.45,30.26,10,10,9,13,4,33,0.00,7,,143
2011-2-5,44,37,30,29,26,25,82,66,49,30.24,30.14,30.08,10,10,10,16,6,20,0.00,7,,277
2011-2-6,41,35,28,26,20,13,78,54,30,30.36,30.29,30.17,10,10,10,13,5,16,T,7,Snow,303
2011-2-7,50,42,34,34,30,26,82,62,42,30.25,29.93,29.70,15,8,1,36,14,44,0.04,8,Rain-Snow-Thunderstorm,20
2011-2-8,37,29,20,28,17,8,85,60,35,30.32,30.04,29.90,10,9,2,16,6,20,0.01,5,Snow,295
2011-2-9,35,28,21,18,13,10,68,54,39,30.43,30.38,30.28,10,10,10,9,4,13,0.00,6,,177
2011-2-10,38,29,20,19,16,14,84,61,37,30.38,30.34,30.27,10,10,10,12,5,16,0.00,4,,142
2011-2-11,45,34,22,21,18,15,81,57,33,30.49,30.44,30.36,10,10,10,13,6,16,0.00,2,,152
2011-2-12,52,40,27,20,19,15,69,47,24,30.48,30.36,30.17,10,10,10,15,9,18,0.00,3,,147
2011-2-13,60,47,34,32,21,17,48,36,24,30.21,30.15,30.06,10,10,10,15,5,20,0.00,3,,135
2011-2-14,58,47,35,21,16,10,52,34,15,30.06,29.98,29.90,10,10,10,29,14,38,0.00,3,,153
2011-2-15,58,48,37,18,16,14,44,31,17,30.01,29.89,29.70,10,10,10,28,14,37,0.00,4,,160
2011-2-16,59,52,45,32,26,16,33,29,24,29.75,29.60,29.32,10,6,0,43,24,56,0.00,6,Fog-Snow-Thunderstorm,219
2011-2-17,39,32,24,28,21,16,100,72,44,29.99,29.91,29.76,10,10,10,16,9,21,0.00,4,,152
2011-2-18,50,41,32,26,20,15,56,44,31,29.90,29.87,29.82,10,10,10,29,14,37,0.00,4,,154
2011-2-19,45,39,33,37,33,25,100,73,45,29.81,29.64,29.51,10,10,4,29,11,38,0.22,8,Rain-Snow,162
2011-2-20,37,34,30,32,29,25,100,85,70,29.98,29.83,29.64,10,4,1,22,9,29,0.16,8,Snow,264
2011-2-21,41,34,27,29,25,20,100,76,52,30.02,29.98,29.93,10,10,9,13,7,20,T,5,,136
2011-2-22,44,36,27,30,22,18,69,55,41,29.95,29.88,29.82,10,10,10,25,14,31,0.00,6,Snow,161
2011-2-23,42,34,25,27,22,15,92,66,40,30.01,29.92,29.81,10,10,10,14,5,,0.00,5,,323
2011-2-24,42,35,28,28,25,21,85,64,43,29.91,29.86,29.81,10,10,10,12,6,,0.00,7,,327
2011-2-25,46,38,30,32,29,24,100,77,53,29.89,29.71,29.46,10,5,2,36,12,45,0.07,7,Snow,159
2011-2-26,32,30,27,30,27,23,100,86,72,29.74,29.68,29.60,10,5,0,21,8,24,0.24,7,Fog-Snow,329
2011-2-27,35,30,25,22,18,11,81,60,38,30.16,29.87,29.67,10,10,10,18,8,21,0.00,6,,337
2011-2-28,46,36,26,30,22,16,92,66,39,30.17,30.13,30.08,10,10,10,25,8,31,0.00,4,,192
