MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-12-1,43,38,33,23,15,11,70,50,30,30.25,30.16,30.05,10,10,10,28,12,40,0.00,3,,1
2011-12-2,41,31,21,25,20,13,74,57,40,30.21,30.03,29.93,10,10,7,13,3,16,0.00,4,Snow,325
2011-12-3,38,31,23,25,18,15,85,63,40,30.28,30.15,30.00,10,10,4,20,9,22,T,4,Snow,314
2011-12-4,31,27,22,22,18,9,75,67,58,30.30,30.21,30.09,10,10,7,9,3,12,T,6,Snow,267
2011-12-5,29,22,15,11,7,2,67,53,39,30.52,30.43,30.25,10,10,10,14,5,16,T,2,,293
2011-12-6,33,24,15,15,9,5,74,53,32,30.58,30.53,30.40,10,10,10,13,6,25,0.00,2,,157
2011-12-7,36,26,16,19,13,9,74,56,38,30.54,30.42,30.29,10,10,10,9,5,12,0.00,1,,169
2011-12-8,37,28,19,22,19,15,81,65,48,30.39,30.34,30.27,10,10,10,8,2,17,0.00,2,,310
2011-12-9,40,30,20,24,20,16,84,66,48,30.50,30.43,30.34,10,9,4,10,4,14,0.00,1,,229
2011-12-10,41,31,20,24,19,15,88,65,41,30.47,30.33,30.15,10,8,4,10,4,13,0.00,0,,158
2011-12-11,39,29,19,25,22,16,92,73,54,30.13,30.00,29.88,7,5,2,8,3,14,0.00,4,,287
2011-12-12,44,31,18,29,22,15,92,70,48,29.97,29.92,29.86,10,6,1,10,2,18,0.00,5,,272
2011-12-13,32,29,25,30,28,23,92,88,84,30.05,29.98,29.89,6,3,0,9,3,10,0.02,8,Snow,330
2011-12-14,35,32,29,29,26,21,92,87,82,30.30,30.19,30.02,6,3,0,31,4,54,T,7,Fog-Snow,348
2011-12-15,30,27,24,25,23,21,92,85,78,30.44,30.29,30.20,8,4,0,12,3,13,T,7,Fog-Snow,338
2011-12-16,31,29,27,22,21,17,81,75,69,30.63,30.54,30.39,10,8,5,10,4,14,0.00,6,,354
2011-12-17,33,26,18,24,20,15,84,77,69,30.64,30.53,30.34,6,4,3,10,4,13,T,4,,319
2011-12-18,32,29,25,23,22,20,88,76,63,30.38,30.24,30.09,5,3,1,10,3,12,T,7,Snow,328
2011-12-19,28,26,24,22,21,19,88,79,69,30.30,30.22,30.11,9,6,2,12,6,17,T,7,Snow,340
2011-12-20,33,29,25,22,21,19,81,72,63,30.29,30.21,30.10,9,7,6,9,4,13,0.00,6,,360
2011-12-21,36,29,22,23,20,13,92,68,43,30.23,30.11,30.05,10,8,5,21,7,26,T,6,Snow,308
2011-12-22,35,27,19,22,14,10,88,63,38,30.58,30.40,30.24,10,10,10,22,9,25,0.00,3,,325
2011-12-23,36,26,15,18,11,9,74,55,35,30.72,30.66,30.55,10,10,10,9,3,22,0.00,0,,187
2011-12-24,35,25,15,18,14,9,80,59,38,30.78,30.73,30.69,10,10,7,16,4,152,0.00,1,,209
2011-12-25,41,29,17,19,15,11,84,59,33,30.67,30.54,30.36,10,9,8,12,3,13,0.00,1,,22
2011-12-26,41,28,15,23,17,12,88,64,40,30.43,30.39,30.31,10,9,7,13,3,14,0.00,3,,241
2011-12-27,39,28,17,25,20,14,84,68,52,30.45,30.36,30.29,10,8,6,10,2,12,0.00,3,,182
2011-12-28,45,34,23,25,21,16,88,63,37,30.41,30.31,30.17,10,10,9,9,3,10,0.00,5,,158
2011-12-29,56,44,32,34,27,20,78,58,37,30.16,30.10,30.05,10,10,10,15,6,20,T,7,Rain,126
2011-12-30,56,48,40,30,27,18,57,45,32,30.04,29.88,29.66,10,10,8,24,12,31,0.00,6,,164
2011-12-31,41,35,29,26,12,5,64,45,26,30.54,30.35,29.95,10,10,10,35,14,41,0.00,3,,302
