MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-2-1,75,61,47,29,26,23,46,31,15,30.14,30.04,29.93,10,10,10,9,4,13,0.00,4,,112
2012-2-2,68,57,45,31,26,20,49,33,17,29.94,29.88,29.81,10,10,10,22,9,26,0.00,2,,299
2012-2-3,68,57,45,32,27,23,58,39,20,30.06,29.99,29.93,10,10,10,12,4,14,0.00,1,,167
2012-2-4,69,57,45,30,25,21,50,33,16,30.07,30.02,29.96,10,10,10,9,2,12,0.00,2,,281
2012-2-5,72,58,43,27,25,24,49,33,17,30.07,30.00,29.93,10,10,10,10,4,16,0.00,2,,147
2012-2-6,68,58,47,30,27,23,50,35,19,30.04,29.99,29.95,10,10,10,10,4,12,0.00,6,,99
2012-2-7,74,62,50,29,23,19,41,28,14,30.03,29.95,29.86,10,10,10,18,7,22,0.00,6,,72
2012-2-8,75,65,54,34,30,26,43,31,19,30.10,30.01,29.92,10,10,10,9,3,15,0.00,6,,304
2012-2-9,78,66,53,35,32,28,47,33,18,30.12,30.06,30.00,10,10,10,14,4,17,0.00,1,,158
2012-2-10,80,66,52,34,31,27,46,31,15,30.14,30.05,29.97,10,10,10,9,4,13,0.00,1,,117
2012-2-11,81,67,53,32,28,24,45,29,13,29.96,29.85,29.73,10,10,10,10,6,13,0.00,2,,133
2012-2-12,69,61,53,35,32,26,43,34,24,29.90,29.83,29.76,10,10,10,20,6,23,0.00,3,,270
2012-2-13,68,58,48,39,34,31,56,42,28,29.98,29.88,29.80,10,10,10,16,6,23,0.00,4,,138
2012-2-14,61,54,47,40,34,26,71,50,28,30.02,29.87,29.78,10,10,10,21,7,25,0.00,5,,215
2012-2-15,64,53,42,39,33,27,83,54,24,30.08,29.98,29.89,10,10,10,14,7,18,0.00,3,,110
2012-2-16,69,57,45,38,30,25,58,39,19,30.00,29.93,29.90,10,10,10,15,6,20,0.00,4,,104
2012-2-17,70,59,48,40,35,29,71,47,22,30.10,30.02,29.94,10,10,10,15,5,18,0.00,2,,254
2012-2-18,70,58,45,41,33,23,71,45,19,30.13,30.04,29.95,10,10,10,10,5,23,0.00,1,,100
2012-2-19,68,58,47,33,31,28,56,40,24,29.94,29.87,29.80,10,10,10,20,7,22,0.00,4,,186
2012-2-20,70,59,47,33,28,23,53,35,17,30.09,30.02,29.95,10,10,10,12,3,15,0.00,3,,113
2012-2-21,75,60,44,29,21,11,49,29,9,30.12,30.05,30.01,10,10,10,10,4,21,0.00,1,,243
2012-2-22,77,62,47,24,20,13,39,24,9,30.09,29.99,29.86,10,10,10,9,3,12,0.00,3,,108
2012-2-23,78,64,50,31,26,21,39,27,14,29.86,29.81,29.74,10,10,10,12,6,16,0.00,3,,114
2012-2-24,81,66,50,31,23,13,44,26,8,30.05,29.98,29.86,10,10,10,8,2,12,0.00,0,,182
2012-2-25,79,66,52,27,23,17,35,23,10,30.05,29.95,29.84,10,10,10,12,6,16,0.00,0,,109
2012-2-26,81,66,50,28,24,21,36,24,12,29.90,29.82,29.74,10,10,10,12,5,15,0.00,1,,112
2012-2-27,79,67,54,37,29,22,38,25,12,29.84,29.77,29.67,10,10,9,30,14,37,0.00,1,,161
2012-2-28,65,57,49,41,29,25,50,38,25,30.18,30.09,29.88,10,10,10,29,7,38,T,4,Rain,265
2012-2-29,70,57,44,29,26,22,53,36,18,30.19,30.11,30.03,10,10,10,10,3,18,0.00,1,,105
