EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-6-1,72,67,62,63,56,48,93,75,56,30.02,29.95,29.80,10,10,8,28,17,37,0.45,5,Rain,83
2012-6-2,76,69,62,66,58,46,100,72,43,29.78,29.71,29.66,10,8,2,28,14,35,0.81,6,Rain-Thunderstorm,237
2012-6-3,78,68,58,57,51,47,73,55,36,29.78,29.71,29.65,10,10,10,30,12,37,T,4,Rain,275
2012-6-4,65,60,54,55,51,47,93,73,52,29.81,29.68,29.62,10,10,6,22,12,26,0.22,6,Rain,40
2012-6-5,67,59,51,53,48,44,86,67,48,29.96,29.88,29.81,10,10,10,18,7,22,T,6,Rain,16
2012-6-6,71,62,53,59,54,51,93,73,53,30.01,29.98,29.95,10,10,7,22,9,30,0.04,4,Rain-Thunderstorm,203
2012-6-7,76,68,59,60,57,52,90,67,43,29.99,29.96,29.93,10,10,10,21,9,23,T,4,,246
2012-6-8,78,69,59,63,57,51,90,66,42,29.95,29.90,29.83,10,10,10,20,9,33,0.00,3,,248
2012-6-9,80,72,63,62,58,54,87,67,47,29.99,29.92,29.86,10,10,10,18,6,20,T,6,,257
2012-6-10,80,73,65,67,65,58,93,78,62,30.20,30.08,29.99,10,10,6,17,7,24,0.08,7,Rain,160
2012-6-11,75,70,64,64,61,55,93,73,53,30.27,30.22,30.18,10,10,10,21,11,67,0.00,6,,121
2012-6-12,73,69,64,67,65,61,100,87,73,30.18,30.04,29.91,10,8,2,23,13,30,1.08,8,Rain,154
2012-6-13,69,67,65,67,65,64,100,95,90,30.07,29.95,29.86,10,6,2,17,8,22,1.37,8,Rain,66
2012-6-14,73,67,61,64,61,58,93,77,61,30.26,30.17,30.07,10,10,10,20,10,26,0.00,5,,57
2012-6-15,80,70,59,59,53,44,90,61,31,30.31,30.28,30.25,10,10,10,18,8,26,0.00,3,,64
2012-6-16,79,69,59,59,54,45,84,57,30,30.33,30.29,30.25,10,10,10,17,9,26,0.00,3,,79
2012-6-17,70,64,57,56,53,52,78,67,55,30.25,30.19,30.12,10,10,10,15,8,23,0.00,6,,120
2012-6-18,68,62,55,56,53,52,86,72,58,30.17,30.14,30.12,10,10,10,14,7,18,0.00,5,,124
2012-6-19,74,68,62,65,61,56,84,79,73,30.19,30.15,30.09,10,10,10,17,10,22,0.00,6,,193
2012-6-20,94,82,69,72,69,65,90,68,46,30.09,30.01,29.93,10,9,6,18,10,21,0.00,4,,230
2012-6-21,97,88,79,70,68,62,69,51,33,29.94,29.87,29.78,10,10,10,18,10,26,0.00,1,,280
2012-6-22,94,83,72,72,69,64,93,69,44,29.83,29.79,29.76,10,8,3,37,8,48,0.19,5,Rain-Thunderstorm,235
2012-6-23,87,78,69,70,60,48,93,60,27,29.99,29.88,29.82,10,9,1,23,10,37,0.65,5,Rain-Thunderstorm,316
2012-6-24,82,74,65,68,59,53,73,56,39,30.02,29.98,29.91,10,10,10,20,8,23,0.03,5,Rain,197
2012-6-25,75,69,62,70,63,58,93,75,57,29.89,29.75,29.67,10,9,1,23,9,29,1.90,6,Rain-Thunderstorm,151
2012-6-26,76,67,57,52,47,44,69,52,35,29.78,29.72,29.69,10,10,10,28,17,33,0.00,4,,320
2012-6-27,84,75,65,50,47,41,56,40,23,29.84,29.77,29.73,10,10,10,26,15,35,0.00,3,,292
2012-6-28,86,77,68,65,58,51,69,53,36,29.85,29.79,29.73,10,10,10,15,9,31,0.00,2,,238
2012-6-29,92,82,71,72,68,63,84,67,49,29.74,29.68,29.63,10,10,7,37,10,82,0.06,4,Rain-Thunderstorm,222
2012-6-30,93,84,75,70,63,52,79,53,26,29.79,29.75,29.67,10,10,9,25,12,38,0.00,5,,258
