HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-6-1,85,80,74,70,67,63,79,67,54,30.10,30.05,30.01,10,10,10,23,13,29,0.00,5,,56
2013-6-2,84,78,71,70,67,62,87,74,61,30.10,30.08,30.05,10,10,10,26,14,33,T,5,,59
2013-6-3,85,80,75,65,63,61,69,59,48,30.12,30.07,30.04,10,10,10,25,16,32,T,4,Rain,60
2013-6-4,85,80,75,66,64,60,74,61,48,30.08,30.04,30.00,10,10,10,24,14,31,0.00,3,,60
2013-6-5,85,79,73,66,63,61,73,60,47,30.07,30.04,30.00,10,10,10,22,14,29,0.00,4,Rain,60
2013-6-6,85,79,73,64,62,59,68,56,44,30.07,30.02,29.97,10,10,10,23,14,30,0.00,4,,61
2013-6-7,82,78,74,65,63,61,69,60,51,30.06,30.02,29.98,10,10,10,22,14,30,T,5,Rain,62
2013-6-8,85,80,74,64,63,61,73,59,44,30.07,30.02,29.99,10,10,10,24,16,30,0.00,6,,60
2013-6-9,86,80,74,66,64,61,79,63,47,30.10,30.06,30.02,10,10,10,22,12,30,T,5,,58
2013-6-10,85,80,74,66,64,62,69,59,48,30.08,30.05,30.01,10,10,10,22,12,28,0.00,5,,58
2013-6-11,85,80,74,68,65,63,74,61,48,30.05,30.01,29.98,10,10,8,21,12,26,0.00,6,Rain,62
2013-6-12,86,80,74,70,65,62,84,68,51,30.10,30.05,30.02,10,10,10,23,13,31,T,3,,61
2013-6-13,85,79,73,68,66,64,73,64,55,30.13,30.09,30.06,10,10,9,25,16,32,T,4,Rain,63
2013-6-14,84,78,72,68,65,62,90,71,51,30.10,30.06,30.01,10,10,10,25,14,31,0.01,4,Rain,55
2013-6-15,84,78,72,65,64,63,79,65,51,30.04,30.00,29.95,10,10,10,23,13,31,0.00,3,,59
2013-6-16,85,79,72,66,64,62,84,66,48,30.04,29.99,29.95,10,10,10,21,12,28,0.00,3,,62
2013-6-17,85,78,71,68,65,63,84,66,48,30.10,30.05,29.99,10,10,10,21,12,28,T,4,Rain,59
2013-6-18,85,79,72,67,65,63,84,68,51,30.09,30.05,30.02,10,10,2,21,12,29,T,4,Rain,63
2013-6-19,85,79,73,66,64,62,74,61,48,30.08,30.05,30.02,10,10,10,22,10,28,0.00,3,,48
2013-6-20,85,78,71,70,65,63,73,64,55,30.08,30.04,30.00,10,10,6,21,9,26,T,5,Rain,37
2013-6-21,84,78,71,68,66,63,90,69,48,30.07,30.04,29.99,10,10,6,23,11,29,0.03,5,Rain,55
2013-6-22,84,79,74,68,64,63,73,61,48,30.12,30.06,30.02,10,10,10,24,16,32,T,4,,58
2013-6-23,83,78,72,69,66,65,84,70,55,30.14,30.10,30.06,10,10,10,21,13,26,T,5,Rain,52
2013-6-24,83,77,71,68,65,62,84,68,51,30.12,30.09,30.06,10,10,10,21,9,26,T,6,Rain,35
2013-6-25,80,75,70,69,66,65,93,78,62,30.10,30.07,30.03,10,10,10,17,6,24,0.01,6,,34
2013-6-26,84,77,69,69,65,62,100,74,48,30.08,30.04,30.01,10,10,6,18,7,25,0.06,4,Rain,40
2013-6-27,84,78,72,66,64,61,79,65,51,30.04,30.01,29.97,10,10,10,16,9,29,0.00,4,,44
2013-6-28,84,78,71,67,65,63,84,66,48,30.03,29.99,29.96,10,10,6,22,10,29,0.01,4,Rain,57
2013-6-29,84,77,70,72,66,62,93,72,51,30.04,29.99,29.96,10,10,10,18,9,25,0.03,4,Rain,47
2013-6-30,86,80,73,66,65,61,79,64,48,30.05,30.02,29.98,10,10,10,24,10,31,0.00,3,,47
