CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-2-1,46,40,34,35,33,32,89,80,63,30.19,30.10,29.94,10,8,5,12,4,16,0.00,6,,353
2012-2-2,44,39,33,35,33,30,89,84,74,30.45,30.30,30.16,9,6,3,10,4,13,0.00,6,,240
2012-2-3,40,37,34,34,32,30,89,82,75,30.50,30.44,30.36,10,6,3,17,8,20,T,8,,65
2012-2-4,39,34,29,33,31,27,93,84,75,30.37,30.28,30.18,10,6,2,17,10,21,0.03,7,Rain-Snow,55
2012-2-5,43,35,27,33,28,24,93,77,57,30.32,30.27,30.18,10,10,8,15,5,18,0.00,3,,26
2012-2-6,32,31,29,29,27,25,96,88,80,30.24,30.20,30.14,8,5,1,18,11,25,0.00,7,,250
2012-2-7,36,33,29,30,26,22,93,79,66,30.41,30.32,30.22,10,8,4,24,11,30,T,8,Snow,357
2012-2-8,36,31,25,22,18,11,75,61,36,30.42,30.37,30.30,10,10,10,15,9,18,0.00,5,,303
2012-2-9,35,28,20,22,18,14,85,66,50,30.34,30.25,30.12,10,10,7,17,10,22,0.00,2,,238
2012-2-10,35,25,15,31,22,1,93,79,53,30.21,30.00,29.88,10,5,0,29,13,36,0.02,8,Snow,284
2012-2-11,20,15,10,2,0,-2,64,51,40,30.43,30.38,30.25,10,10,10,29,15,36,0.00,1,,310
2012-2-12,36,26,15,12,6,-1,56,45,35,30.40,30.34,30.26,10,10,10,18,11,24,0.00,0,,273
2012-2-13,37,28,19,27,15,6,93,61,37,30.25,30.06,29.87,10,8,2,20,9,29,0.01,7,Snow,195
2012-2-14,36,33,29,29,27,25,93,83,70,30.05,29.91,29.82,10,8,2,15,8,21,T,8,Snow,221
2012-2-15,42,37,32,37,33,28,100,84,70,30.12,30.05,29.98,10,8,2,17,9,26,0.13,7,Rain,187
2012-2-16,47,41,34,38,31,20,100,76,38,30.14,30.05,29.95,10,7,2,21,9,24,0.08,5,Rain,273
2012-2-17,49,38,27,32,26,22,85,63,44,30.19,30.10,30.01,10,10,10,22,9,29,0.00,2,,230
2012-2-18,37,33,29,27,22,14,82,64,39,30.26,30.18,30.04,10,10,10,20,8,23,0.00,2,,10
2012-2-19,37,32,26,23,20,16,75,63,46,30.25,30.22,30.17,10,10,10,15,8,20,0.00,2,,61
2012-2-20,43,34,25,25,22,19,81,61,41,30.34,30.20,29.93,10,10,10,20,9,25,0.00,4,,146
2012-2-21,41,37,33,40,33,24,100,84,55,29.88,29.70,29.64,10,7,1,26,13,35,0.07,7,Rain-Snow,218
2012-2-22,42,37,32,35,31,27,92,80,70,29.72,29.54,29.42,10,8,1,13,6,17,T,7,Rain-Snow,209
2012-2-23,39,34,28,38,34,29,100,95,79,29.59,29.52,29.47,7,4,2,22,8,28,0.11,8,Rain-Snow,76
2012-2-24,35,30,25,34,28,16,100,89,66,29.98,29.64,29.36,10,5,0,26,16,36,0.24,8,Fog-Rain-Snow,310
2012-2-25,29,24,19,18,14,11,80,67,49,30.37,30.22,29.98,10,10,10,21,10,26,0.00,2,,272
2012-2-26,52,37,22,29,22,16,78,57,39,30.35,30.16,30.01,10,10,10,29,13,40,0.00,1,,173
2012-2-27,40,34,27,24,20,19,72,60,52,30.51,30.34,30.12,10,10,10,24,11,31,0.00,2,,273
2012-2-28,47,36,25,40,25,20,92,65,37,30.51,30.27,29.83,10,9,6,16,8,21,0.08,6,Rain,129
2012-2-29,60,48,35,54,39,29,100,80,32,29.75,29.56,29.42,10,6,1,37,19,49,0.19,6,Rain,201
