MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-12-1,56,40,23,32,24,18,88,58,28,30.13,29.98,29.78,10,10,10,29,11,38,0.00,6,,228
2008-12-2,69,49,28,32,20,14,67,40,13,29.87,29.67,29.51,10,10,10,35,12,41,0.00,5,,314
2008-12-3,28,25,21,21,16,14,77,70,63,30.31,30.18,29.93,10,10,6,31,11,39,T,8,Snow,64
2008-12-4,22,9,-5,17,11,-6,100,89,77,30.52,30.33,30.17,10,3,0,21,12,24,0.07,8,Fog-Snow,70
2008-12-5,44,20,-5,39,15,0,95,67,39,30.41,30.14,30.01,10,10,10,20,8,23,0.00,4,,233
2008-12-6,58,41,24,33,26,18,76,56,36,30.17,30.05,29.96,10,10,9,16,8,20,0.00,5,,244
2008-12-7,65,51,36,34,31,29,73,50,27,29.94,29.78,29.55,10,10,10,16,7,23,0.00,6,,212
2008-12-8,51,37,22,29,25,19,96,67,37,29.95,29.65,29.47,10,6,1,26,13,32,0.04,7,Snow,6
2008-12-9,25,18,10,18,14,6,92,80,68,30.37,30.21,29.97,10,7,1,22,9,26,0.01,5,Snow,21
2008-12-10,49,31,13,28,19,9,85,60,34,30.36,30.27,30.19,10,10,10,14,7,15,0.00,3,,194
2008-12-11,51,37,23,26,22,19,88,60,32,30.29,30.18,30.10,10,10,10,15,8,20,0.00,3,,210
2008-12-12,43,33,23,28,24,21,88,71,53,30.20,29.88,29.48,10,10,10,14,6,16,0.00,6,,198
2008-12-13,58,37,15,27,24,18,81,53,24,29.43,29.25,29.03,10,8,0,31,16,38,0.01,5,Snow,205
2008-12-14,15,-1,-18,9,-7,-19,91,81,71,30.39,29.79,29.39,10,4,0,26,11,32,0.09,6,Fog-Snow,64
2008-12-15,2,-8,-19,-7,-14,-22,86,77,68,30.52,30.38,30.02,10,10,5,14,5,14,0.00,2,Fog,155
2008-12-16,34,13,-8,23,6,-13,87,67,47,30.10,29.97,29.84,10,10,7,17,6,20,0.00,5,,240
2008-12-17,37,26,14,23,13,5,84,66,48,30.04,29.97,29.90,10,10,10,16,8,20,0.00,3,,139
2008-12-18,28,17,5,27,19,12,100,84,68,29.96,29.78,29.58,10,5,0,31,5,37,0.02,5,Fog-Snow,202
2008-12-19,44,29,14,21,14,8,92,63,33,29.97,29.85,29.75,10,10,10,25,11,35,0.00,2,,218
2008-12-20,27,16,4,18,4,-2,77,55,33,30.30,30.02,29.82,10,10,4,33,15,41,T,4,Snow,331
2008-12-21,19,10,0,6,0,-4,87,72,56,30.48,30.36,30.16,10,10,10,16,8,18,0.00,3,,107
2008-12-22,29,15,1,17,6,-1,87,72,57,30.11,29.69,29.42,10,10,10,14,4,18,0.00,4,,268
2008-12-23,28,19,10,19,14,4,92,73,53,29.76,29.59,29.47,10,9,1,20,10,23,T,5,Snow,141
2008-12-24,40,27,14,10,2,-6,53,38,23,29.98,29.90,29.78,10,10,10,21,8,25,0.00,3,,235
2008-12-25,48,30,12,24,17,4,67,53,38,29.88,29.56,29.26,10,10,10,29,13,37,0.00,3,,217
2008-12-26,46,30,14,30,20,8,80,58,35,29.81,29.43,29.14,10,10,10,31,13,37,0.00,4,,229
2008-12-27,34,23,11,13,5,-6,91,56,21,29.94,29.88,29.79,10,10,10,29,13,36,0.00,3,,247
2008-12-28,52,42,31,22,17,13,52,40,27,30.08,30.02,29.91,10,10,10,30,13,36,0.00,3,,256
2008-12-29,58,44,29,30,23,16,69,49,28,30.20,30.02,29.79,10,10,10,25,10,30,0.00,3,,211
2008-12-30,58,40,21,28,18,8,88,52,15,30.33,30.00,29.75,10,10,10,37,15,47,0.00,4,,71
2008-12-31,53,36,18,23,14,7,77,50,22,30.27,30.00,29.68,10,10,10,20,8,23,0.00,4,,201
