MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-3-1,86,72,58,43,25,17,51,30,8,30.11,30.03,29.94,10,10,10,17,7,21,0.00,3,,80
2009-3-2,88,73,58,45,30,22,55,32,9,30.05,29.99,29.92,10,10,10,14,4,17,0.00,3,,119
2009-3-3,83,73,62,43,34,26,40,27,14,29.99,29.93,29.89,10,10,10,13,5,16,0.00,7,,148
2009-3-4,82,72,62,43,31,14,50,26,9,29.94,29.90,29.87,10,10,10,13,5,,0.00,6,,54
2009-3-5,73,66,59,36,28,22,39,28,16,30.02,29.94,29.90,10,10,10,10,3,16,0.00,7,,301
2009-3-6,74,67,59,37,23,5,39,24,9,29.94,29.88,29.81,10,10,10,23,9,29,0.00,6,,263
2009-3-7,68,59,50,31,25,15,44,30,16,30.02,29.95,29.86,10,10,10,17,5,21,0.00,1,,325
2009-3-8,72,60,48,40,28,21,50,33,15,30.00,29.93,29.87,10,10,10,9,3,17,0.00,5,,90
2009-3-9,76,67,57,48,40,33,67,45,23,29.93,29.88,29.79,10,10,10,20,10,22,T,5,Rain,181
2009-3-10,74,63,51,43,35,25,63,40,16,30.03,29.96,29.90,10,10,10,9,4,15,0.00,0,,66
2009-3-11,80,66,52,42,33,27,59,37,14,29.98,29.91,29.83,10,10,10,17,6,20,0.00,2,,190
2009-3-12,77,66,55,38,32,26,47,33,18,29.90,29.85,29.78,10,10,10,21,8,25,0.00,4,,278
2009-3-13,76,65,54,41,36,31,55,38,20,29.94,29.88,29.82,10,10,10,13,4,18,0.00,2,,237
2009-3-14,78,66,54,44,32,16,55,33,11,29.87,29.82,29.76,10,10,10,13,4,16,0.00,2,,173
2009-3-15,79,66,52,38,27,18,59,35,10,30.05,29.95,29.86,10,10,10,12,6,18,0.00,2,,99
2009-3-16,82,69,56,38,25,13,38,23,8,30.17,30.09,30.03,10,10,10,12,4,15,0.00,0,,81
2009-3-17,86,72,57,38,27,15,40,24,8,30.10,30.02,29.94,10,10,10,10,3,18,0.00,0,,121
2009-3-18,89,74,58,35,28,13,35,21,6,30.02,29.94,29.86,10,10,10,9,4,13,0.00,1,,115
2009-3-19,89,75,61,34,27,19,35,22,8,29.95,29.86,29.79,10,10,10,10,5,18,0.00,3,,104
2009-3-20,89,77,64,36,27,18,34,21,8,29.84,29.78,29.73,10,10,10,10,5,15,0.00,4,,98
2009-3-21,90,75,60,35,31,22,39,25,11,29.88,29.82,29.75,10,10,10,21,9,28,0.00,3,,161
2009-3-22,84,72,59,33,26,10,29,20,10,29.89,29.81,29.70,10,10,10,31,13,39,0.00,2,,268
2009-3-23,72,62,51,21,16,10,26,19,12,29.99,29.91,29.86,10,10,10,21,9,30,0.00,0,,260
2009-3-24,75,63,50,29,20,14,42,26,10,30.01,29.94,29.86,10,10,10,15,5,20,0.00,1,,253
2009-3-25,80,66,52,27,19,13,32,20,8,29.98,29.87,29.77,10,10,10,23,7,28,0.00,2,,232
2009-3-26,74,63,51,29,17,-5,63,40,16,29.86,29.69,29.55,10,10,10,9,4,15,0.00,2,,1
2009-3-27,71,60,49,24,8,-1,23,16,8,30.00,29.93,29.87,10,10,10,21,8,29,0.00,1,,315
2009-3-28,78,64,49,27,15,3,32,19,6,29.97,29.88,29.79,10,10,2,10,4,20,0.00,0,,105
2009-3-29,82,68,54,25,18,10,30,19,7,29.79,29.69,29.57,10,10,10,22,10,28,0.00,3,,160
2009-3-30,75,68,60,37,16,-2,42,24,5,29.95,29.80,29.63,10,10,10,17,8,24,0.00,0,,259
2009-3-31,77,64,50,24,10,2,24,15,5,30.00,29.89,29.75,10,10,10,15,6,21,0.00,0,,204
