AST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-6-1,84,79,74,74,72,69,94,80,65,30.07,30.02,29.99,10,10,8,21,7,24,1.26,2,Rain,63
2009-6-2,88,82,76,76,74,72,91,80,68,30.04,30.00,29.96,10,10,6,24,10,29,0.23,3,Rain,86
2009-6-3,84,80,75,77,74,71,94,84,74,30.04,30.00,29.96,10,7,1,24,6,30,2.74,4,Rain,109
2009-6-4,88,82,76,75,73,70,94,77,59,30.03,29.99,29.95,10,10,10,24,11,29,0.00,3,,97
2009-6-5,89,83,76,75,73,71,87,73,59,30.06,30.01,29.98,10,10,10,23,10,30,0.02,3,Rain,94
2009-6-6,89,83,76,75,74,72,87,73,59,30.08,30.04,30.00,10,10,7,23,12,29,0.07,3,Rain,92
2009-6-7,87,82,77,75,74,71,85,75,65,30.05,30.01,29.96,10,10,10,23,10,28,0.04,2,,83
2009-6-8,90,84,78,76,73,71,91,75,59,30.02,29.98,29.93,10,10,10,23,5,30,T,2,,101
2009-6-9,90,83,76,77,73,70,82,73,63,30.00,29.98,29.94,10,9,4,18,6,22,0.09,2,Rain,107
2009-6-10,91,84,77,74,72,69,85,69,52,30.01,29.97,29.91,10,10,8,16,6,21,0.00,3,,157
2009-6-11,87,82,76,75,72,70,91,76,61,30.04,30.00,29.97,10,9,0,21,4,28,1.14,4,Fog-Rain-Thunderstorm,110
2009-6-12,88,83,78,77,74,72,91,77,63,30.05,30.01,29.98,10,10,7,17,6,21,0.52,4,Rain,104
2009-6-13,86,82,77,79,75,73,88,79,70,30.06,30.03,29.99,10,9,2,21,4,25,1.35,5,Rain-Thunderstorm,100
2009-6-14,87,82,77,77,73,43,94,78,61,30.05,30.02,29.99,10,10,10,20,7,28,0.05,3,,81
2009-6-15,88,83,77,74,73,71,85,74,63,30.04,30.01,29.97,10,10,10,21,7,26,T,3,Thunderstorm,78
2009-6-16,89,83,77,76,74,72,85,74,63,30.05,30.01,29.97,10,10,7,20,6,24,0.12,3,Rain-Thunderstorm,92
2009-6-17,88,83,78,75,74,71,85,72,59,30.04,29.99,29.96,10,10,9,17,5,21,T,3,Rain,99
2009-6-18,90,84,78,74,73,71,85,71,56,30.00,29.96,29.91,10,10,10,21,9,25,T,3,,82
2009-6-19,91,85,79,76,73,71,85,72,59,30.00,29.96,29.92,10,10,10,21,8,28,0.06,3,Rain,95
2009-6-20,89,83,76,76,74,70,91,73,55,29.99,29.96,29.93,10,10,9,20,6,23,0.23,3,Rain,102
2009-6-21,90,84,77,76,73,70,94,75,55,29.95,29.92,29.88,10,9,4,17,4,23,1.17,3,Rain,105
2009-6-22,92,84,76,74,72,69,88,70,52,29.96,29.90,29.86,10,10,10,15,5,23,0.00,2,,147
2009-6-23,93,87,80,74,73,70,79,66,52,29.99,29.93,29.90,10,10,1,16,7,23,0.00,2,,150
2009-6-24,92,86,79,76,73,71,85,69,52,30.06,29.99,29.95,10,10,10,17,6,30,0.00,2,,137
2009-6-25,91,86,80,76,75,73,79,69,59,30.06,30.03,29.99,10,10,9,21,9,24,0.00,1,,75
2009-6-26,92,86,80,76,74,72,85,71,56,30.07,30.03,30.00,9,7,5,20,7,25,T,2,,106
2009-6-27,93,86,79,75,72,69,85,66,46,30.06,30.04,30.00,9,6,4,14,5,21,0.00,1,,145
2009-6-28,91,86,80,75,73,69,79,67,55,30.04,30.00,29.95,9,8,5,18,5,23,0.00,2,,104
2009-6-29,89,84,79,74,73,71,79,69,59,30.01,29.98,29.96,10,9,7,15,6,24,0.00,2,,88
2009-6-30,91,85,79,76,73,72,79,68,56,30.02,29.97,29.95,10,9,1,20,5,28,1.28,2,Rain,87
