MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-6-1,78,63,48,43,32,28,52,34,16,30.14,30.04,29.90,10,10,10,12,6,16,0.00,2,,106
2013-6-2,93,73,53,44,34,22,55,33,10,29.89,29.69,29.46,10,10,10,17,9,24,0.00,2,,173
2013-6-3,76,66,55,43,28,22,37,28,18,29.88,29.82,29.68,10,10,10,20,8,25,0.00,1,,348
2013-6-4,82,67,51,44,34,25,50,33,16,30.04,29.89,29.86,10,10,10,16,6,24,0.00,1,,339
2013-6-5,83,70,56,47,37,27,67,41,14,29.97,29.94,29.89,10,10,10,13,4,17,0.00,1,,280
2013-6-6,88,73,57,40,36,32,47,30,13,29.94,29.89,29.84,10,10,10,14,7,18,0.00,3,,150
2013-6-7,92,78,63,45,39,35,44,29,14,29.86,29.80,29.68,10,10,10,15,7,26,0.00,2,,154
2013-6-8,87,75,62,50,39,30,52,33,13,29.87,29.82,29.72,10,10,10,16,7,21,0.00,0,,135
2013-6-9,97,80,63,50,38,31,40,26,11,29.88,29.79,29.65,10,10,10,17,7,23,0.00,1,,131
2013-6-10,100,87,74,45,27,9,33,19,4,29.82,29.62,29.53,10,10,10,29,14,39,0.00,4,,167
2013-6-11,92,82,72,37,25,12,19,13,7,29.93,29.72,29.58,10,10,10,24,11,31,0.00,4,,191
2013-6-12,97,81,65,39,31,19,37,22,7,29.88,29.77,29.65,10,10,10,24,12,32,0.00,5,,171
2013-6-13,94,80,65,49,38,19,52,30,7,29.85,29.70,29.61,10,10,10,32,13,40,0.00,3,,286
2013-6-14,75,65,54,41,33,25,51,34,16,30.08,29.99,29.86,10,10,10,15,9,21,0.00,2,,330
2013-6-15,84,68,52,42,35,30,47,33,18,30.06,29.89,29.81,10,10,10,15,5,21,0.00,2,,286
2013-6-16,94,77,59,39,30,17,46,26,6,29.99,29.82,29.78,10,10,10,23,10,29,0.00,1,,143
2013-6-17,96,79,61,44,26,2,32,18,3,29.88,29.80,29.72,10,10,10,14,6,20,0.00,1,,158
2013-6-18,98,81,63,35,21,5,34,19,4,29.71,29.61,29.45,10,10,10,26,14,32,0.00,2,,158
2013-6-19,83,78,73,45,28,15,38,24,9,29.86,29.61,29.44,10,10,10,28,16,35,0.00,3,,321
2013-6-20,76,63,49,40,33,24,59,38,16,29.93,29.86,29.78,10,10,10,14,6,23,0.00,1,,325
2013-6-21,78,65,51,41,35,28,54,36,18,29.89,29.83,29.78,10,10,6,16,6,22,0.00,2,,310
2013-6-22,78,68,58,40,34,27,47,33,18,29.93,29.87,29.82,10,10,10,16,7,22,0.00,2,,1
2013-6-23,87,71,55,41,35,26,51,32,13,29.84,29.70,29.52,10,10,10,14,4,17,0.00,3,,137
2013-6-24,91,82,72,49,33,26,29,20,10,29.91,29.58,29.49,10,10,10,35,17,45,0.00,6,Rain,174
2013-6-25,89,76,62,50,46,41,56,38,20,29.87,29.80,29.74,10,10,10,15,6,18,0.00,4,,143
2013-6-26,94,80,66,55,49,43,63,43,22,29.94,29.87,29.75,10,10,10,16,6,22,0.00,2,,333
2013-6-27,101,85,68,53,49,44,51,34,16,30.01,29.96,29.90,10,10,10,13,4,20,0.00,1,,292
2013-6-28,105,88,71,54,49,39,49,32,15,30.01,29.94,29.86,10,10,10,16,4,21,0.00,4,,332
2013-6-29,105,90,74,50,44,38,38,25,11,29.91,29.83,29.72,10,10,10,16,6,21,0.00,4,,114
2013-6-30,103,92,80,49,44,31,31,23,15,30.01,29.82,29.75,10,10,10,20,8,25,0.00,2,,315
