AST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,83,79,74,73,70,67,87,76,65,30.09,30.04,30.01,10,10,10,16,7,21,0.07,3,Rain,93
2013-1-2,85,79,73,68,66,63,84,70,55,30.07,30.03,29.98,10,10,10,18,8,23,0.00,1,,101
2013-1-3,81,77,72,74,71,67,94,82,69,30.12,30.07,30.02,10,9,2,18,5,22,0.13,4,Rain,102
2013-1-4,84,79,74,72,70,69,87,74,61,30.18,30.12,30.08,10,10,10,22,10,26,T,3,Rain,82
2013-1-5,84,81,78,70,69,68,74,67,59,30.20,30.14,30.10,10,10,10,22,15,26,0.01,5,Rain,74
2013-1-6,85,81,76,70,68,66,82,72,61,30.14,30.10,30.06,10,10,10,23,14,29,0.01,3,,82
2013-1-7,84,79,73,72,70,67,93,76,58,30.13,30.08,30.04,10,10,10,24,13,30,0.12,3,Rain,90
2013-1-8,84,80,75,72,69,68,82,72,61,30.17,30.11,30.06,10,10,10,30,15,38,0.03,4,Rain,89
2013-1-9,84,79,74,69,67,63,84,68,51,30.20,30.15,30.10,10,10,10,24,16,30,0.01,4,,79
2013-1-10,84,79,74,72,68,64,71,65,58,30.18,30.12,30.09,10,9,2,25,14,31,0.02,5,Rain,71
2013-1-11,83,79,74,69,66,64,82,70,58,30.10,30.04,29.99,10,10,10,20,13,25,0.03,4,Rain,55
2013-1-12,82,77,72,71,69,67,93,78,63,30.02,29.99,29.95,10,9,2,21,6,25,0.57,5,Rain,74
2013-1-13,82,78,73,65,62,60,87,69,51,30.05,30.01,29.97,10,10,10,15,9,21,0.00,2,,39
2013-1-14,82,76,70,67,64,60,84,69,54,30.08,30.03,29.99,10,10,6,16,8,21,0.01,4,Rain,65
2013-1-15,82,77,72,70,67,63,87,74,60,30.06,30.02,29.98,10,10,10,18,9,24,0.12,4,Rain,77
2013-1-16,81,76,71,72,66,61,84,72,60,30.07,30.02,29.97,10,10,6,22,9,25,0.01,5,Rain,74
2013-1-17,83,78,72,69,67,65,93,74,55,30.09,30.04,29.99,10,10,10,20,8,26,0.03,3,,85
2013-1-18,82,78,73,71,69,67,87,75,62,30.11,30.06,30.01,10,10,10,14,5,18,0.04,5,Rain,110
2013-1-19,83,78,72,70,68,66,84,73,62,30.11,30.05,30.01,10,10,10,21,8,25,0.00,4,,82
2013-1-20,84,79,73,71,68,65,87,71,55,30.09,30.03,29.99,10,10,10,17,6,22,0.01,2,Rain,79
2013-1-21,82,77,72,72,69,67,93,80,67,30.05,30.01,29.96,10,10,8,15,5,20,0.04,3,Rain,91
2013-1-22,86,80,73,71,69,67,84,70,55,30.09,30.04,29.99,10,10,9,16,6,21,0.00,2,,105
2013-1-23,86,80,73,71,70,68,87,73,59,30.13,30.07,30.03,10,10,10,22,7,26,0.01,3,,96
2013-1-24,84,79,74,70,69,68,87,74,61,30.12,30.06,30.01,10,10,10,18,7,22,0.00,3,,92
2013-1-25,84,78,72,71,69,68,87,75,63,30.11,30.07,30.03,10,10,10,22,7,28,0.02,4,Rain,61
2013-1-26,84,79,74,73,72,70,94,80,65,30.11,30.07,30.04,10,9,2,22,8,28,0.21,6,Rain,95
2013-1-27,84,79,73,72,70,69,87,76,65,30.15,30.10,30.06,10,10,10,16,7,22,T,2,,84
2013-1-28,85,80,75,71,69,68,82,72,61,30.19,30.13,30.09,10,10,9,20,9,25,T,3,Rain,75
2013-1-29,83,78,72,70,68,67,84,74,63,30.15,30.09,30.04,10,10,6,21,8,25,0.03,5,Rain,87
2013-1-30,83,78,73,71,69,67,87,76,65,30.11,30.07,30.04,10,10,6,22,11,29,0.12,4,Rain,86
2013-1-31,84,79,73,73,71,70,93,79,65,30.10,30.05,30.02,10,10,10,21,7,26,0.13,3,,93
