MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2009-6-1,81,69,57,55,46,39,84,55,26,29.99,29.83,29.71,10,10,4,23,7,29,0.24,6,Rain-Thunderstorm,220
2009-6-2,80,69,58,57,49,36,78,50,21,30.05,29.90,29.79,10,9,5,24,8,29,0.26,6,Rain-Thunderstorm,203
2009-6-3,82,68,53,52,45,33,83,51,19,30.06,29.93,29.87,10,10,10,25,5,31,0.00,6,,128
2009-6-4,85,71,56,44,35,22,57,34,10,29.91,29.82,29.71,10,10,7,28,8,38,0.00,6,,162
2009-6-5,81,70,58,50,38,6,51,29,7,29.78,29.63,29.47,10,10,8,35,10,44,0.04,6,Rain-Thunderstorm,289
2009-6-6,75,63,50,43,35,28,68,44,19,29.75,29.66,29.61,10,10,10,25,10,32,0.01,6,Rain-Thunderstorm,5
2009-6-7,66,60,53,49,43,32,83,62,40,29.90,29.78,29.66,10,10,2,22,6,29,0.19,7,Rain-Thunderstorm,314
2009-6-8,73,63,52,52,45,39,77,55,33,29.86,29.79,29.72,10,10,7,26,9,30,0.08,6,Rain-Thunderstorm,147
2009-6-9,74,64,54,50,45,36,89,58,27,29.90,29.78,29.69,10,10,9,32,11,40,0.16,7,Rain-Thunderstorm,150
2009-6-10,66,60,53,50,48,45,89,71,52,29.89,29.81,29.74,10,10,6,20,6,23,0.17,7,Rain-Thunderstorm,149
2009-6-11,61,56,50,54,49,47,89,78,67,29.92,29.86,29.81,10,10,8,20,6,22,0.23,6,Rain-Thunderstorm,62
2009-6-12,73,61,48,50,44,41,86,59,31,30.02,29.93,29.83,10,10,8,26,7,35,T,5,Rain-Thunderstorm,185
2009-6-13,70,61,52,50,47,43,72,58,44,30.01,29.88,29.78,10,9,2,21,8,26,0.07,7,Rain-Thunderstorm,154
2009-6-14,72,62,51,48,45,37,83,58,32,30.03,29.88,29.79,10,9,2,22,8,29,0.32,5,Rain-Thunderstorm,151
2009-6-15,74,62,49,48,44,39,99,99,99,29.98,29.87,29.82,10,10,10,6,4,8,0.00,4,,179
2009-6-16,75,64,53,47,44,41,71,51,31,29.90,29.86,29.83,10,10,10,17,7,22,0.02,5,,181
2009-6-17,68,62,56,54,51,46,86,67,48,29.98,29.87,29.78,10,10,10,25,6,30,0.06,7,Rain-Thunderstorm,184
2009-6-18,73,65,56,54,46,36,86,57,28,29.96,29.87,29.84,10,10,4,22,7,33,0.11,5,Rain,159
2009-6-19,83,69,54,43,38,33,61,40,18,29.87,29.75,29.55,10,10,10,22,12,26,0.00,1,,155
2009-6-20,72,63,53,54,48,39,89,60,31,29.85,29.68,29.50,10,9,2,22,12,28,0.37,6,Rain-Thunderstorm,316
2009-6-21,79,65,51,50,46,43,83,55,27,29.83,29.72,29.58,10,10,8,30,13,38,0.03,4,Rain,168
2009-6-22,72,61,50,49,44,38,83,59,34,29.96,29.90,29.83,10,10,10,15,8,22,0.00,2,,325
2009-6-23,79,66,53,49,47,44,77,54,30,29.92,29.88,29.83,10,10,10,13,5,17,0.00,1,,318
2009-6-24,92,75,57,50,43,32,67,40,12,29.99,29.89,29.83,10,10,10,14,6,25,0.00,1,,118
2009-6-25,92,80,67,51,43,35,43,28,13,30.02,29.86,29.80,10,10,5,36,9,44,T,5,Rain,179
2009-6-26,82,71,59,57,53,45,84,57,30,30.15,29.95,29.83,10,9,2,32,12,40,0.28,6,Rain-Thunderstorm,151
2009-6-27,82,69,56,52,46,35,80,51,21,30.13,30.08,30.00,10,10,10,14,6,18,0.00,1,,150
2009-6-28,88,71,53,46,40,35,67,42,16,30.14,30.03,29.92,10,10,10,13,7,16,0.00,0,,113
2009-6-29,95,79,62,50,39,29,48,30,11,29.93,29.86,29.78,10,10,10,14,6,16,0.00,2,,141
2009-6-30,97,82,67,48,41,33,45,29,12,29.92,29.78,29.72,10,10,5,29,10,43,0.00,4,Thunderstorm,175
