MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-11-1,60,49,38,41,37,31,93,64,35,30.52,30.43,30.30,10,10,10,8,5,12,0.00,2,,169
2010-11-2,61,50,39,42,37,34,85,61,36,30.58,30.52,30.48,10,10,10,12,6,16,0.00,0,,152
2010-11-3,63,51,38,45,39,35,92,68,43,30.51,30.44,30.36,10,10,10,8,4,12,0.00,1,,180
2010-11-4,66,54,41,45,40,37,96,68,40,30.35,30.26,30.17,10,10,10,9,4,10,0.00,1,,208
2010-11-5,69,55,40,47,41,38,93,64,35,30.17,30.10,30.02,10,10,7,8,4,10,0.00,2,,155
2010-11-6,70,56,43,47,40,32,89,61,31,30.05,30.00,29.95,10,10,10,20,6,25,0.00,5,,142
2010-11-7,64,55,46,35,33,31,60,47,33,30.03,29.89,29.68,10,10,10,28,13,35,0.00,5,,157
2010-11-8,60,47,34,45,35,27,93,60,27,29.91,29.81,29.62,10,6,2,30,10,39,0.88,8,Rain-Snow,351
2010-11-9,41,35,29,33,28,19,100,72,44,30.05,30.00,29.91,10,8,2,17,7,23,0.06,5,Snow,320
2010-11-10,40,35,30,31,27,20,82,69,56,30.08,29.95,29.88,10,10,9,14,8,18,T,7,Snow,200
2010-11-11,44,37,29,30,27,24,92,67,41,30.49,30.35,30.11,10,10,10,16,5,20,0.00,6,,303
2010-11-12,47,41,34,32,27,24,76,59,42,30.53,30.49,30.44,10,10,10,10,5,14,0.00,6,,137
2010-11-13,43,39,34,32,28,24,89,69,49,30.48,30.39,30.30,10,10,10,14,5,17,T,6,,34
2010-11-14,40,38,36,36,32,26,92,78,64,30.25,30.12,29.98,10,9,6,12,6,14,0.14,8,Rain,140
2010-11-15,52,45,37,39,36,34,100,76,52,30.08,30.01,29.93,10,10,10,17,8,21,0.01,6,Rain,102
2010-11-16,53,46,38,38,32,22,82,60,37,30.16,29.93,29.74,10,10,8,35,15,43,0.01,6,Rain,264
2010-11-17,48,39,30,30,25,21,85,60,34,30.31,30.23,30.15,10,10,10,20,9,25,0.00,5,,161
2010-11-18,60,49,37,22,18,14,52,34,15,30.13,29.94,29.78,10,10,10,29,17,40,0.00,6,,162
2010-11-19,57,56,54,22,18,15,26,23,20,29.77,29.67,29.55,10,10,10,31,21,39,0.00,8,,180
2010-11-20,55,49,42,36,31,22,61,44,26,29.76,29.63,29.45,10,6,0,38,22,52,0.48,8,Rain-Snow-Thunderstorm,9
2010-11-21,39,35,31,32,29,19,100,80,59,29.78,29.64,29.47,10,4,0,35,6,44,0.27,8,Fog-Rain-Snow-Thunderstorm,182
2010-11-22,39,34,29,25,21,18,78,63,48,29.95,29.88,29.80,10,10,10,23,12,129,T,6,,187
2010-11-23,40,29,17,25,20,7,100,72,44,29.87,29.69,29.45,10,6,0,40,22,53,0.16,7,Fog-Snow,218
2010-11-24,19,14,8,12,4,1,80,63,45,30.31,30.12,29.84,10,10,3,23,9,26,T,5,Snow,308
2010-11-25,24,15,6,8,4,0,80,60,39,30.62,30.52,30.33,10,10,10,12,8,12,T,4,,131
2010-11-26,29,21,12,14,10,5,80,63,46,30.59,30.47,30.25,10,10,10,6,3,6,0.00,3,,118
2010-11-27,27,21,15,21,17,12,88,78,67,30.23,29.94,29.69,10,10,7,12,2,13,0.00,6,,324
2010-11-28,28,27,25,27,24,20,100,91,81,29.99,29.74,29.53,8,1,0,20,8,23,0.29,8,Fog-Snow,334
2010-11-29,27,20,13,23,18,9,96,76,55,30.63,30.26,29.94,10,6,2,14,6,15,0.04,6,Snow,322
2010-11-30,28,19,9,21,14,6,92,75,57,30.69,30.60,30.47,10,10,10,13,6,22,0.00,5,,133
